City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,la ronge,55.1001,-105.2842,2.59,95,100,1.22,CA,2024-04-08
170,port douglas,-16.4833,145.4667,26.47,82,100,0.54,AU,2024-04-08
171,wenchang,30.904,118.4887,10.17,95,99,1.35,CN,2024-04-08
172,bryne,58.7354,5.6477,12.75,81,75,6.17,NO,2024-04-08
173,dunedin,-45.8742,170.5036,15.87,61,100,3.51,NZ,2024-04-08
174,kailua-kona,19.6406,-155.9956,22.98,80,0,1.54,US,2024-04-08
175,solnechnyy,50.7214,136.6319,-0.54,97,100,1.68,RU,2024-04-08
176,holualoa,19.6228,-155.9522,20.91,82,0,1.54,US,2024-04-08
177,embi,48.8264,58.1442,7.53,61,82,1.71,KZ,2024-04-08
178,manokwari,-0.8667,134.0833,25.71,84,98,5.13,ID,2024-04-08
179,hermiston,45.8404,-119.2895,8.98,74,0,4.12,US,2024-04-08
180,ajaigarh,24.9,80.2667,31.92,7,0,1.8,IN,2024-04-08
181,minas de marcona,-15.2119,-75.1103,21.85,63,97,3.65,PE,2024-04-08
182,saint-francois,46.4154,3.9054,24.8,34,0,6.17,FR,2024-04-08
183,port alfred,-33.5906,26.891,22.01,76,97,5.14,ZA,2024-04-08
184,ilulissat,69.2167,-51.1,-5.99,68,20,1.54,GL,2024-04-08
185,yugo-kamskiy,57.7053,55.5894,2.01,98,100,4.28,RU,2024-04-08
186,saldanha,-33.0117,17.9442,15.84,90,100,9.36,ZA,2024-04-08
187,santa elena de uairen,4.6167,-61.1333,28.98,39,58,2.61,VE,2024-04-08
188,labuan,5.2767,115.2417,28.4,79,19,2.23,MY,2024-04-08
189,akureyri,65.6835,-18.0878,-0.39,92,100,5.59,IS,2024-04-08
190,beckley,37.7782,-81.1882,16.25,68,100,3.09,US,2024-04-08
191,cadale,2.7603,46.3222,29.54,76,76,5.14,SO,2024-04-08
192,yanam,16.7333,82.2167,27.42,84,0,1.97,IN,2024-04-08
193,mohammedia,33.7066,-7.3944,22.23,61,25,3.93,MA,2024-04-08
194,iskateley,67.6803,53.1512,-13.32,92,14,2.68,RU,2024-04-08
195,mahenge,-8.6833,36.7167,19.08,97,100,0.86,TZ,2024-04-08
196,dana point,33.467,-117.6981,13.07,79,0,1.34,US,2024-04-08
197,egilsstadir,65.2653,-14.3948,-0.05,100,100,9.26,IS,2024-04-08
198,andorra,42.5,1.5,21.56,40,20,5.14,AD,2024-04-08
199,pohang,36.0322,129.365,14.72,74,100,4.62,KR,2024-04-08
200,dudinka,69.4058,86.1778,-7.4,96,100,5.81,RU,2024-04-08
201,shantobe,52.4581,68.1839,3.16,98,100,2.99,KZ,2024-04-08
202,laguna,38.421,-121.4238,10.51,68,0,5.14,US,2024-04-08
203,barah,13.7,30.3667,35.2,6,24,6.46,SD,2024-04-08
204,touros,-5.1989,-35.4608,30.05,70,100,5.75,BR,2024-04-08
205,lensk,60.7253,114.9278,-0.95,99,100,1.16,RU,2024-04-08
206,shakawe,-18.3667,21.85,26.9,52,100,2.12,BW,2024-04-08
207,palikir - national government center,6.9248,158.1611,26.41,89,100,2.06,FM,2024-04-08
208,tsiombe,-25.3,45.4833,21.9,66,100,5.87,MG,2024-04-08
209,petropavlovsk-kamchatsky,53.0452,158.6483,2.65,82,92,0.89,RU,2024-04-08
